text,class
" i want to start by saying fred flare- shipped this product very fast!! and the transaction itself was very smooth. i do however have extreme problems with the product itself. the product is not leather its nylon and it sort of looks cheap? the inside material is sued but that's only the lining for the base of the wallet. also the wallet part is very hard to use. you cant really put too much in the wallet- the credit card slots are a little too snug and there is no place for my i.d. the wallet included a small note book but it also doesn't fit in the wallet? i was very excited about this product but now i feel duped. the pictures made the wallet seem like it was of higher quality and that it was user friendly but it's not. i do not recommend this product ",negative
" i have to say that i was disappointed when i opened up the package containing my ipod wallet. it's cute but not $60ish cute. first of all it's not leather it's nylon. the lining is indeed suede but the photos in the product listing are misleading. i'm keeping it because the hassle of shipping it back etc. isn't worth it. it does the job but it wasn't what i was expecting. i feel ripped off ",negative
" i am sorry but i did not like it nor will i wear it as it is too big & looks funny on me. i wish i had not have gotten it. ",negative
" a red star!?!? i bet this won't sell well in eastern europe. ",negative
" perhaps it is my own fault for not reading more closely or failing to question the somewhat ambiguous product description. the fact is i thought that i would be receiving 84 plastic stays (3x28) 28 each in 3 different sizes. at $8.00 that seemed like a reasonable deal for plastic collar stays. what i got and i confess that the product description could be interpreted this way was a total of 28 stays in assorted sizes. when you add in the $4.00 i was charged for shipping (actual us postal service postage on the package was $1.84) this really is a poor deal compared to other available options. about 43 cents for each plastic collar stay? a bad choice ",negative
" the pants that i ordered for my size were very small. they weren't true to size at all. i would not recommend this item to anyone ",negative
" i ordered the black one. according to the photo provided it was supposed to be black with white seams but when i received it it was all black. once i put it on it fitted perfectly. but it is simply too difficult to put on even though it is the right size. ",negative
" suit was too small not enough information available on the site for it. i called amazon but even the customer representative was not sure the size. i bought the suit as he suggested but it is too small ",negative
" the swim suit was so unsatisfactory looking that i didn't even try it on. it was blue striped with a totally different blue strap that didn't go with the main color of the suit. very poor choice for a grab bag. taught me not to use grab bag shopping from this company ",negative
" it was advertised and not in stock so i was unable to get it ",negative
" i have had plenty of pairs of doc's but these are not the best for me........... they are not comfy and they tend to be a little tough to break in. as soon as i put them on and took one step ---- there right across the top of the shoe is a nice big crease......... it does not look nice and i am ticked about that...........plus i didnt expect the laces to have green and maroon colors mixed into the brown laces...... it looks dorky! plus i have a manufacturing flaw in them. inside the heel the seam isnt quite right and it rubs my skin and hurts like heck! hopefully the next model i get isnt like thses or they are going back....... putting up with these for now....... ",negative
" these body suits are awful! when i first saw them i was really relieved that i had found something that would be good for the summer months. i put them on my twins after a first wash and the velcro closure scraped up the insides of their delicate little legs! the suits were the appropriate size and were washed according to the label. i am so disappointed and angry. it was a waste of my money. ",negative
" nice looking picture but what are the dementions of the thing ? it looks good but is it 4x 8 or 12 x 8 ? sure would be nice to know the size before i buy............. da trol ",negative
" i bought two of these bags so far. both have failed at the plastic fastener one arm just snapped in no time. the bag itself is ok but the plastic parts on the belt are really cheap... i wont buy a third one. ",negative
" i give the order processing an a+ due to receiving the product within three days. the bag on the other had leaves a bit to be desired. while the material used is soft the inexpensive zippers are difficult to operate with one hand ",negative
" the actual bag itself was great. however the time frame it took to recieve the bag was not. i ordered this bag and three weeks later it came. i had to go buy a bag to take on vacation. kind of defeated the purpose ",negative
" very dissatisfied with the quality like several other reviewers. relegated to cleaning after just one use ",negative
